Date,Open,High,Low,Close,Adj Close,Volume
2021-08-10,299.359985,299.359985,292.579987,295.130005,293.588837,433386
2021-08-11,296.000000,296.299988,292.299988,293.250000,291.718658,495943
2021-08-12,294.000000,294.000000,289.540009,290.640015,289.122314,578851
2021-08-13,292.989990,298.679993,292.220001,297.529999,295.976318,842858
2021-08-16,297.260010,298.540009,293.570007,297.489990,295.936523,489074
2021-08-17,298.160004,298.320007,294.489990,297.940002,296.384186,524825
2021-08-18,293.640015,302.799988,289.959991,293.559998,292.027039,1101591
2021-08-19,293.000000,302.829987,290.570007,302.829987,301.248627,1190909
2021-08-20,304.000000,307.959991,303.869995,306.100006,304.501556,1657177
2021-08-23,308.000000,308.869995,305.670013,306.649994,305.048676,459861
2021-08-24,307.260010,309.559998,305.029999,308.549988,306.938751,650279
2021-08-25,311.000000,313.339996,309.019989,312.510010,310.878082,567000
2021-08-26,310.049988,310.679993,305.100006,308.100006,306.491119,525299
2021-08-27,309.519989,312.119995,309.260010,311.059998,309.435669,437210
2021-08-30,311.000000,311.989990,308.200012,310.299988,308.679626,425589
2021-08-31,312.190002,315.179993,311.540009,311.940002,310.311066,740798
2021-09-01,310.010010,312.179993,306.579987,309.079987,307.465973,668797
2021-09-02,305.690002,306.399994,301.859985,303.440002,303.440002,872639
2021-09-03,304.190002,306.920013,303.480011,303.869995,303.869995,635647
2021-09-06,300.410004,305.799988,300.369995,305.799988,305.799988,485116
2021-09-07,306.000000,309.380005,305.529999,306.484985,306.484985,78985
